Track,Date,Start Time,Duration,Speaker,Talk Title,Synopsis,Type
STUDIO C,2026-07-02,16:00,45,"Julia Petretta","Why modern cross-functional product teams create more friction than alignment",,Talk
STUDIO K,2026-07-02,16:00,45,"Hugo Rodrigues","From uniform to code: Military lessons that shaped my tech career",,Talk
STUDIO L,2026-07-02,16:00,45,"Ruth Waterfield; Rob Cullingford","No managers: Complete chaos or enhanced agility?",,Talk
LAWN,2026-07-02,16:45,15,,Break,,Break
STUDIO A,2026-07-02,17:00,45,,"AI lightning talks",,Talk
GYLLY BEACH,2026-07-02,18:45,255,,"Beach party",,Social
LAWN,2026-07-03,07:30,90,,Breakfast,,Break
STUDIO A,2026-07-03,09:00,10,,"Dydh da - welcome to day 2",,Talk
STUDIO A,2026-07-03,09:10,60,,"Keynote speaker - AI in product",,Talk
STUDIO A,2026-07-03,10:10,30,"Olly Brand","AI native - ask me anything",,Talk
LAWN,2026-07-03,10:40,20,,Break,,Break
STUDIO A,2026-07-03,11:00,45,"Thierry de Pauw","A case study in non-blocking continuous code reviews",,Talk
STUDIO K,2026-07-03,11:00,45,"Ben Collins","What happens when you change teams every two days?",,Talk
STUDIO L,2026-07-03,11:00,45,"Dr. Chichi Afiah","How hiring for Fit created teams that couldn't ship",,Talk
STUDIO E,2026-07-03,11:00,100,"Gemma Honour; Nicola Schoonderwoerd","Break the pattern: Creative thinking hacks for product people!",,Workshop
STUDIO F,2026-07-03,11:00,100,"Maxime Bonnin","Shakespeare on Stage... Shakespeare in your next sprints?",,Workshop
LAWN,2026-07-03,11:45,10,,Break,,Break
STUDIO A,2026-07-03,11:55,45,"Connell Sharp","Experimentation at Stack Overflow: How we built our new comments UI",,Talk
STUDIO C,2026-07-03,11:55,45,"Rachel Dubois","Everything I learned about Product, I learned by messing It up first",,Talk
STUDIO K,2026-07-03,11:55,45,"Emily King","When NPM came for us: A small team's Agile security journey",,Talk
STUDIO L,2026-07-03,11:55,45,"Jaime San Martin","AI reports that mirror Hotel Ops, predict Incidents, and saved $150K in 3 Months",,Talk
LAWN,2026-07-03,12:40,55,,Lunch,,Break
STUDIO A,2026-07-03,13:35,45,"Kate Sant","Never let a crisis go to waste: how we used GenAI to battle a SPAM attack",,Talk
STUDIO C,2026-07-03,13:35,45,"Robin Z","Pre-PMF in healthcare: Why the startup playbook fails and what to do instead",,Talk
STUDIO K,2026-07-03,13:35,45,"Keith Klain","When the whistle blows: An ethics experience report",,Talk
STUDIO L,2026-07-03,13:35,45,"Karl Royle","The invisible work of coaching: Lessons from two years on the edge of organisational change",,Talk
LAWN,2026-07-03,14:20,10,,Break,,Break
STUDIO A,2026-07-03,14:30,45,"Tom Morton","From on-prem to cloud to ... chaos? Our quest for developer experience",,Talk
STUDIO C,2026-07-03,14:30,45,"Daniel Merriman","Escaping the Woozle Trap: How Winnie the Pooh saved my product career!",,Talk
STUDIO K,2026-07-03,14:30,45,"Dinesh Sharma; Bhavika Nayyar","Restoring sprint goal confidence: How AI turned hope into evidence",,Talk
STUDIO L,2026-07-03,14:30,45,"Jo Tansley Thomas","Institutional memory: beyond people, buildings and the fear of losing it",,Talk
STUDIO A,2026-07-03,15:20,60,"Veerle Verhagen","Veerle doesn't want to talk about AI",,Talk
STUDIO A,2026-07-03,16:20,10,,"Meur ras - thank you!",,Talk
